http://www.pro-football-reference.com/boxscores/201510250mia.htm,,,,,,,points,points,expected points before the play,expected points after the play,home team win %,
Quarter,Time,Down,ToGo,Location,Yard Line,Detail,HTX,MIA,EPB,EPA,Win%,
,,,,,,,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,
1,15:00,,,MIA 35,35,Andrew Franks kicks off 64 yards (tackle by Zach Vigil),0,0,0,-1.73,58.2,41.8
1,14:54,1,10,HTX 42,42,Brian Hoyer pass incomplete deep right intended for DeAndre Hopkins,0,0,1.73,1.19,59.7,
1,14:49,2,10,HTX 42,42,Arian Foster left tackle for -2 yards (tackle by Jelani Jenkins),0,0,1.19,0.23,62.4,
1,14:09,3,12,HTX 40,40,Brian Hoyer pass incomplete short right intended for Nate Washington (defended by Cameron Wake),0,0,0.23,-0.72,65,
1,14:04,4,12,HTX 40,40,Shane Lechler punts 55 yards returned by Jarvis Landry for 7 yards (tackle by Akeem Dent),0,0,-0.72,0.35,62,
1,13:51,1,10,MIA 12,12,Ryan Tannehill pass complete short right to Lamar Miller for 1 yard (tackle by Brian Cushing),0,0,-0.35,-0.7,61,
1,13:16,2,9,MIA 13,13,Ryan Tannehill pass complete short left to Jarvis Landry for 9 yards (tackle by Andre Hal),0,0,-0.7,0.41,64.1,
1,12:44,1,10,MIA 22,22,Lamar Miller middle for 13 yards (tackle by Jadeveon Clowney and Rahim Moore),0,0,0.41,1.27,66.4,
1,12:07,1,10,MIA 35,35,Ryan Tannehill pass complete short right to Jarvis Landry for 5 yards (tackle by Andre Hal),0,0,1.27,1.4,66.7,
1,11:39,2,5,MIA 40,40,Lamar Miller for 7 yards (tackle by A.J. Bouye). Penalty on Jadeveon Clowney: Defensive Offside (Declined),0,0,1.4,2.06,68.5,
1,11:06,1,10,MIA 47,47,Ryan Tannehill pass complete short left to Rishard Matthews for 53 yards touchdown,0,6,2.06,7,78.4,
1,11:06,,,MIA 47,47,Andrew Franks kicks extra point good,0,7,0,0,80.5,
1,11:06,,,MIA 35,35,Andrew Franks kicks off 65 yards touchback,0,7,0,-0.28,79.9,
1,10:57,1,10,HTX 20,20,Arian Foster right end for 2 yards (tackle by Michael Thomas),0,7,0.28,0,80.5,
1,10:20,2,8,HTX 22,22,Arian Foster right tackle for -5 yards (tackle by Koa Misi),0,7,0,-1.51,83.6,
1,9:49,3,13,HTX 17,17,Brian Hoyer pass incomplete short right intended for Jaelen Strong (defended by Jamar Taylor),0,7,-1.51,-2.32,85.2,
1,9:38,4,13,HTX 17,17,Shane Lechler punts 55 yards fair catch by Jarvis Landry,0,7,-2.32,-0.81,82.3,
1,9:34,1,10,MIA 28,28,Lamar Miller right tackle for no gain (tackle by Jared Crick and J.J. Watt),0,7,0.81,0.26,81.2,
1,8:57,2,10,MIA 28,28,Ryan Tannehill pass complete short left to Jarvis Landry for 9 yards (tackle by Justin Tuggle),0,7,0.26,0.76,82.3,
1,8:31,3,1,MIA 37,37,Jonas Gray right tackle for no gain (tackle by Brian Cushing),0,7,0.76,-0.91,78.7,
1,8:03,4,1,MIA 37,37,Matt Darr punts 53 yards,0,7,-0.91,0.38,81.5,
1,7:52,1,10,HTX 10,10,Brian Hoyer pass incomplete short left intended for DeAndre Hopkins (defended by Brent Grimes),0,7,-0.38,-0.78,82.4,
1,7:49,2,10,HTX 10,10,Brian Hoyer pass complete short middle to Arian Foster for 7 yards (tackle by Koa Misi),0,7,-0.78,-0.6,82,
1,7:15,3,3,HTX 17,17,Brian Hoyer pass incomplete deep left intended for DeAndre Hopkins,0,7,-0.6,-2.32,85.4,
1,7:04,4,3,HTX 17,17,Shane Lechler punts 33 yards,0,7,-2.32,-2.26,85.3,
1,7:00,1,10,HTX 50,50,Ryan Tannehill pass complete short left to Jarvis Landry for 50 yards touchdown,0,13,2.26,7,91.1,
1,7:00,,,HTX 50,50,Andrew Franks kicks extra point good,0,14,0,0,92.3,
1,7:00,,,MIA 35,35,Andrew Franks kicks off 65 yards touchback,0,14,0,-0.28,92,
1,6:45,1,10,HTX 20,20,Chris Polk right tackle for no gain (tackle by Terrence Fede),0,14,0.28,-0.27,92.7,
1,6:09,2,10,HTX 20,20,Chris Polk middle for -3 yards (tackle by Ndamukong Suh),0,14,-0.27,-1.51,94,
1,5:27,3,13,HTX 17,17,Brian Hoyer pass incomplete short right intended for Keith Mumphery. Penalty on Chris Clark: Illegal Use of Hands (Declined),0,14,-1.51,-2.32,94.8,
1,5:20,4,13,HTX 17,17,Shane Lechler punts 35 yards returned by Jarvis Landry for 7 yards (tackle by Jon Weeks),0,14,-2.32,-2.59,95.1,
1,5:10,1,10,HTX 45,45,Lamar Miller right guard for 29 yards (tackle by Johnathan Joseph),0,14,2.59,4.51,96.5,
1,4:31,1,10,HTX 16,16,Lamar Miller right guard for 3 yards (tackle by Jared Crick),0,14,4.51,4.39,96.5,
1,3:52,2,7,HTX 13,13,Lamar Miller left guard for 3 yards (tackle by Justin Tuggle),0,14,4.39,4.17,96.4,
1,3:11,3,4,HTX 10,10,Ryan Tannehill pass complete short right to Jarvis Landry for 10 yards touchdown,0,20,4.17,7,97.5,
1,3:11,,,HTX 10,10,Andrew Franks kicks extra point good,0,21,0,0,97.9,
1,3:11,,,MIA 35,35,Andrew Franks kicks off 65 yards touchback,0,21,0,-0.28,97.8,
1,3:03,1,10,HTX 20,20,Brian Hoyer pass incomplete short right intended for Arian Foster,0,21,0.28,-0.27,98.1,
1,2:59,2,10,HTX 20,20,Arian Foster right guard for 1 yard (tackle by Earl Mitchell),0,21,-0.27,-0.82,98.3,
1,2:22,3,9,HTX 21,21,Brian Hoyer pass incomplete short middle intended for Garrett Graham,0,21,-0.82,-1.96,98.7,
