player,team,position,pass_comp,pass_att,pass_yards,pass_td,pass_int,pass_sack,pass_sack_yards,pass_long,pass_qbr,rush_att,rush_yards,rush_td,rush_long,rec_target,rec_rec,rec_yards,rec_td,rec_long,fmb,fmb_lost
Brian Hoyer,HOU,QB,23,49,273,3,1,4,22,27,76.3,,,,,0,0,0,,,2,0
Arian Foster,HOU,RB,,,,,,,,,,18,59,1,11,7,5,66,1,26,,
Nate Washington,HOU,WR,,,,,,,,,,,,,,16,9,127,2,27,,
DeAndre Hopkins,HOU,WR,,,,,,,,,,,,,,12,6,50,0,11,1,0
Chris Polk,HOU,RB,,,,,,,,,,4,4,0,5,3,2,14,0,8,,
Keith Mumphery,HOU,WR,,,,,,,,,,,,,,3,1,16,0,16,,
Alfred Blue,HOU,RB,,,,,,,,,,3,8,0,3,0,0,0,,,,
Jaelen Strong,HOU,WR,,,,,,,,,,,,,,1,0,0,0,0,,
Garrett Graham,HOU,TE,,,,,,,,,,,,,,4,0,0,0,0,,
Jonathan Grimes,HOU,RB,,,,,,,,,,,,,,1,0,0,0,0,,
C.J. Fiedorowicz,HOU,TE,,,,,,,,,,,,,,2,0,0,0,0,,
Lamar Miller,MIA,RB,,,,,,,,,,14,175,1,85,3,3,61,1,54,,
Ryan Tannehill,MIA,QB,18,19,282,4,0,4,41,54,158.3,1,3,0,3,0,0,0,,,,
Jarvis Landry,MIA,WR,,,,,,,,,,1,5,0,5,5,5,83,2,50,,
Rishard Matthews,MIA,WR,,,,,,,,,,,,,,3,3,75,1,53,,
Jonas Gray,MIA,RB,,,,,,,,,,12,48,0,16,1,1,10,0,10,,
Greg Jennings,MIA,WR,,,,,,,,,,,,,,2,2,37,0,23,,
Damien Williams,MIA,RB,,,,,,,,,,4,19,0,19,2,2,10,0,8,1,1
Jordan Cameron,MIA,TE,,,,,,,,,,,,,,2,2,23,0,12,,
Matt Moore,MIA,QB,1,1,14,0,0,0,0,14,118.7,3,-2,0,0,0,0,0,,,,
Dion Sims,MIA,TE,,,,,,,,,,,,,,2,1,-3,0,-3,,
